,No_discs,Shannon,Distance,Nb
0,1,8.939955838213304,0.7245807854418246,32414
1,1,8.942931764555507,0.7231003712460403,32196
2,1,8.914185598923263,0.7245069037679451,32320
3,1,8.948213144706926,0.7248614013074778,32320
4,1,8.888419013840602,0.7253382519154211,31965
5,1,8.896965742315258,0.7246296826052371,32397
6,1,8.931483395203006,0.7229191827192848,32171
7,1,8.895605535827233,0.7222840877134553,32149
8,1,8.95404386868321,0.7269921024979651,32066
9,1,8.920389829278035,0.7259494525724947,32115
10,1,8.933624696469083,0.7245619130832578,32246
11,1,8.888448367187666,0.7221922633791482,32316
12,1,8.941538581429434,0.7218317924024616,32552
13,1,8.905417889218251,0.7245884808592502,32447
14,1,8.905821116713753,0.7249040163183047,32168
15,1,8.954081687800212,0.7236000336722619,32389
16,1,8.940852501937696,0.7287031247131073,32429
17,1,8.942899481994203,0.7233840088886548,32367
18,2,9.471424592210058,0.6294219305763746,49601
19,2,9.42341777195493,0.6298825166192888,49731
20,2,9.437917454035086,0.6298055358350675,49650
21,2,9.45972352654088,0.6305728279275805,49651
22,2,9.47319019634908,0.631502258746041,49734
23,2,9.468749417660163,0.6341071877623163,49751
24,2,9.477383729112123,0.6327880289168465,49480
25,2,9.425092205842997,0.6309845456710104,49452
26,2,9.47319019634908,0.631502258746041,49734
27,2,9.460721705379358,0.6305397768900335,49989
28,2,9.480738154404802,0.6333896854322558,49877
29,2,9.464711372741519,0.6305902385343408,49786
30,2,9.450952802003474,0.6297415151770835,49706
31,2,9.483840367333679,0.6315628961300411,49695
32,2,9.460173015618116,0.6307542622419078,49670
33,2,9.4848887846032,0.6351096667013942,49615
34,2,9.470708999091675,0.629316340163376,49917
35,2,9.457419695793893,0.6327145635126464,49458
36,2,9.487510236231067,0.6317485207698113,49566
37,2,9.451926876236199,0.630679403325969,49783
38,2,9.426913081535798,0.6303612026204409,49914
39,2,9.472861378300125,0.6289061331289586,50059
40,2,9.460464924967006,0.6328690905584451,49619
41,2,9.483840367333679,0.6315628961300411,49695
42,2,9.454466769816621,0.6315293181865539,49798
43,2,9.4431641442405,0.6309742055162093,49559
44,2,9.475395414881238,0.6285121316072713,49697
45,2,9.476125509161617,0.6306000991333539,49925
46,2,9.442307753974738,0.6304993181655103,49670
47,2,9.44904575304484,0.6312858142867687,49494
48,2,9.450952802003474,0.6297415151770835,49706
49,2,9.421567281214513,0.6309565253262412,49630
50,2,9.460464924967006,0.6328690905584451,49619
51,2,9.459564787840558,0.6298794622796501,49648
52,2,9.453723688454833,0.6338159314579628,49722
53,2,9.450952802003474,0.6297415151770835,49706
54,2,9.453723688454833,0.6338159314579628,49722
55,2,9.480651640819286,0.6298414730934092,49911
