,No_discs,Shannon,Distance,Nb
0,1,8.02915549067264,0.84392,21968
1,1,8.506772009828426,0.831084,18835
2,1,8.909176482532056,0.8191199999999998,16559
3,1,8.461996852799519,0.8402240000000001,17797
4,1,8.629757968797175,0.828924,18105
5,1,8.860975385251585,0.80644,21953
6,1,9.212440305407794,0.7808240000000003,27549
7,1,8.689130432631703,0.843924,11582
8,1,8.368796227393851,0.8396959999999999,13998
9,1,9.408926797487705,0.7610279999999999,28942
10,1,8.686519073073862,0.81786,18046
11,1,9.288761287195474,0.7725680000000001,29329
12,2,8.868661757825494,0.802872,35463
13,2,9.067959041307942,0.7845720000000002,34061
14,2,8.85715691467689,0.80742,34827
15,2,8.933521089273125,0.7976820000000002,35185
16,2,9.03984677428168,0.7827000000000002,37913
17,2,9.210118402433249,0.7637659999999997,42465
18,2,8.963538231537985,0.7980299999999999,30296
19,2,8.802060757125318,0.804976,31690
20,2,9.304781420105726,0.74676,43680
21,2,8.955526509047292,0.7897760000000001,34736
22,2,9.24568739915224,0.7575160000000001,43861
23,2,9.298146644202117,0.7686120000000002,31512
24,2,9.084961133046582,0.7912119999999999,32372
25,2,9.16654576807019,0.7819119999999999,32663
26,2,9.266603847468241,0.7681399999999999,35491
27,2,9.437959151467897,0.7490960000000001,40207
28,2,9.195993542492747,0.7825120000000003,27611
29,2,9.030553483356552,0.7893620000000001,29103
30,2,9.528562562389958,0.7330559999999999,41280
31,2,9.183107907666763,0.775038,32246
32,2,9.471711583464321,0.7433000000000002,41703
33,2,9.282748026837732,0.7733760000000001,30787
34,2,9.36167181457479,0.76439,31052
35,2,9.465249778619649,0.750454,34078
36,2,9.634614144946344,0.7317799999999999,38886
37,2,9.388836040229249,0.764682,25757
38,2,9.228739302293162,0.771344,27428
39,2,9.724073686959219,0.7164619999999999,40033
40,2,9.379789181871205,0.7568920000000001,30737
41,2,9.66559553377026,0.726902,40284
42,2,9.14762640131454,0.7868500000000002,31866
43,2,9.252194553685579,0.77242,34773
44,2,9.423949445778993,0.7534079999999997,39663
45,2,9.179393020792425,0.7866279999999999,26836
46,2,9.014714795008489,0.793812,28346
47,2,9.513131474919087,0.7377579999999999,40749
48,2,9.166678092745737,0.7791839999999999,31565
49,2,9.457240185844656,0.7471519999999999,41141
50,2,9.333390702013693,0.7632620000000002,35110
51,2,9.49877046332041,0.7448139999999999,39820
52,2,9.25705292612202,0.7776919999999999,27092
53,2,9.095267425326147,0.7839500000000001,28645
54,2,9.592392585135201,0.7289899999999999,41043
55,2,9.242246078124321,0.7699180000000001,31875
56,2,9.53551395628131,0.7381120000000001,41384
57,2,9.599678337944717,0.7315659999999999,42395
58,2,9.364540199007706,0.7636540000000002,30356
59,2,9.197882553994353,0.7707200000000002,31661
60,2,9.693502649571737,0.7154659999999999,43500
61,2,9.353857790662257,0.756252,34746
62,2,9.63620909055134,0.7251139999999999,43754
63,2,9.528983112428705,0.745192,35327
64,2,9.36937293430673,0.7514360000000004,36681
65,2,9.857863818249305,0.6981280000000002,47773
66,2,9.516538386991732,0.7381679999999999,39460
67,2,9.801779831253,0.7074240000000002,48070
68,2,9.1241944550579,0.7848300000000001,23289
69,2,9.623952286668956,0.729404,36570
70,2,9.274590316890551,0.7709379999999996,26729
71,2,9.565108443720035,0.7394580000000001,36939
72,2,9.46300092553501,0.734922,37900
73,2,9.113336346422184,0.777518,28299
74,2,9.403257800576705,0.746242,38155
75,2,9.60863208553255,0.7219119999999998,40607
76,2,9.891771294807542,0.6925439999999999,48950
77,2,9.554787632166722,0.731764,40907
78,3,9.407830653095886,0.7518146666666665,45294
79,3,9.273661044345658,0.772524,45866
80,3,9.32310785196697,0.7643133333333335,46189
81,3,9.385359314228282,0.7530106666666668,48209
82,3,9.49636448625502,0.7375039999999998,52208
83,3,9.342838155789151,0.7614186666666666,42177
84,3,9.232753361597533,0.7705173333333333,43053
85,3,9.554931754366756,0.7240639999999999,53148
86,3,9.331545804852682,0.7585893333333334,45537
87,3,9.517279371273576,0.7328439999999999,53356
88,3,9.40371655223735,0.7550906666666667,44872
89,3,9.451526510362829,0.7470640000000003,45146
90,3,9.515867290225495,0.7357266666666666,47345
91,3,9.625415367259412,0.7204453333333334,51359
92,3,9.469757252916295,0.7442453333333334,41047
93,3,9.363642153129,0.7529946666666668,42050
94,3,9.683223869336802,0.7078053333333336,52357
95,3,9.46104945510404,0.7410213333333333,44595
96,3,9.644776489766711,0.7163600000000001,52483
97,3,9.316670246757589,0.7675813333333333,45669
98,3,9.381846789914796,0.7559453333333336,47810
99,3,9.492811661066415,0.7404973333333333,51874
100,3,9.337613422548259,0.7644293333333332,41729
101,3,9.228611553183622,0.7736240000000001,42621
102,3,9.55041560992811,0.7274053333333332,52822
103,3,9.326979803563649,0.7613266666666667,45148
104,3,9.513526405295089,0.7353653333333335,53051
105,3,9.431169044018691,0.7478400000000001,48173
106,3,9.538292791504787,0.7324653333333334,52082
107,3,9.384855198743601,0.7562520000000001,42040
108,3,9.27772024488855,0.7649159999999999,42958
109,3,9.598765823597299,0.7196226666666664,53152
110,3,9.372639218059156,0.7533093333333334,45481
111,3,9.561151536100018,0.7270706666666669,53327
112,3,9.600798955152573,0.7219293333333336,53976
113,3,9.451539550533983,0.744926666666667,44373
114,3,9.341489080345902,0.7538760000000001,45181
115,3,9.661608084863381,0.7083079999999998,54958
116,3,9.442189937513245,0.741932,47573
117,3,9.624429289852863,0.7162466666666666,55099
118,3,9.557710533027562,0.7298866666666667,48495
