,Distance,Sample
0,0.858928,Simulation
1,0.85958,Simulation
2,0.8596839999999997,Simulation
3,0.8622279999999999,Simulation
4,0.8604679999999997,Simulation
5,0.8550039999999999,Simulation
6,0.8622719999999999,Simulation
7,0.864332,Simulation
8,0.8547679999999996,Simulation
9,0.858928,Simulation
10,0.85966,Simulation
11,0.8623720000000001,Simulation
12,0.8614759999999999,Simulation
13,0.8640680000000002,Simulation
14,0.8624639999999998,Simulation
15,0.86094,Simulation
16,0.863432,Simulation
17,0.8604720000000001,Simulation
18,0.85958,Simulation
19,0.85966,Simulation
20,0.8586600000000002,Simulation
21,0.858988,Simulation
22,0.8627039999999999,Simulation
23,0.8580000000000001,Simulation
24,0.8548800000000001,Simulation
25,0.8632479999999997,Simulation
26,0.859036,Simulation
27,0.8596839999999997,Simulation
28,0.8623720000000001,Simulation
29,0.8586600000000002,Simulation
30,0.8659039999999998,Simulation
31,0.8627799999999997,Simulation
32,0.8597360000000001,Simulation
33,0.8590800000000001,Simulation
34,0.8639120000000001,Simulation
35,0.8634119999999998,Simulation
36,0.8622279999999999,Simulation
37,0.8614759999999999,Simulation
38,0.858988,Simulation
39,0.8659039999999998,Simulation
40,0.8609000000000002,Simulation
41,0.8608120000000001,Simulation
42,0.8624959999999999,Simulation
43,0.8611560000000001,Simulation
44,0.8632279999999999,Simulation
45,0.8604679999999997,Simulation
46,0.8640680000000002,Simulation
47,0.8627039999999999,Simulation
48,0.8627799999999997,Simulation
49,0.8609000000000002,Simulation
50,0.86316,Simulation
51,0.858076,Simulation
52,0.8604839999999999,Simulation
53,0.8635799999999999,Simulation
54,0.8550039999999999,Simulation
55,0.8624639999999998,Simulation
56,0.8580000000000001,Simulation
57,0.8597360000000001,Simulation
58,0.8608120000000001,Simulation
59,0.86316,Simulation
60,0.8609679999999996,Simulation
61,0.861504,Simulation
62,0.8569120000000001,Simulation
63,0.8622719999999999,Simulation
64,0.86094,Simulation
65,0.8548800000000001,Simulation
66,0.8590800000000001,Simulation
67,0.8624959999999999,Simulation
68,0.858076,Simulation
69,0.8609679999999996,Simulation
70,0.8657720000000003,Simulation
71,0.8573399999999998,Simulation
72,0.864332,Simulation
73,0.863432,Simulation
74,0.8632479999999997,Simulation
75,0.8639120000000001,Simulation
76,0.8611560000000001,Simulation
77,0.8604839999999999,Simulation
78,0.861504,Simulation
79,0.8657720000000003,Simulation
80,0.86568,Simulation
81,0.8547679999999996,Simulation
82,0.8604720000000001,Simulation
83,0.859036,Simulation
84,0.8634119999999998,Simulation
85,0.8632279999999999,Simulation
86,0.8635799999999999,Simulation
87,0.8569120000000001,Simulation
88,0.8573399999999998,Simulation
89,0.86568,Simulation
90,0.8624479999999999,Simulation
91,0.8626119999999998,Simulation
92,0.863232,Simulation
93,0.8660399999999999,Simulation
94,0.8663840000000002,Simulation
95,0.8590800000000001,Simulation
96,0.8654839999999999,Simulation
97,0.8679320000000001,Simulation
98,0.8572120000000001,Simulation
99,0.8624479999999999,Simulation
100,0.8630160000000001,Simulation
101,0.86742,Simulation
102,0.86508,Simulation
103,0.867672,Simulation
104,0.8645400000000002,Simulation
105,0.8634520000000002,Simulation
106,0.86708,Simulation
107,0.8670720000000001,Simulation
108,0.8626119999999998,Simulation
109,0.8630160000000001,Simulation
110,0.8620639999999998,Simulation
111,0.8624840000000003,Simulation
112,0.866596,Simulation
113,0.8612959999999998,Simulation
114,0.8584159999999997,Simulation
115,0.8668760000000001,Simulation
116,0.8630040000000001,Simulation
117,0.863232,Simulation
118,0.86742,Simulation
119,0.8620639999999998,Simulation
120,0.8698399999999997,Simulation
121,0.8668079999999999,Simulation
122,0.8643120000000001,Simulation
123,0.8609039999999999,Simulation
124,0.867176,Simulation
125,0.8686600000000001,Simulation
126,0.8660399999999999,Simulation
127,0.86508,Simulation
128,0.8624840000000003,Simulation
129,0.8698399999999997,Simulation
130,0.8630519999999997,Simulation
131,0.8646760000000001,Simulation
132,0.866876,Simulation
133,0.8645479999999999,Simulation
134,0.8651200000000001,Simulation
135,0.8663840000000002,Simulation
136,0.867672,Simulation
137,0.866596,Simulation
138,0.8668079999999999,Simulation
139,0.8630519999999997,Simulation
140,0.8662960000000001,Simulation
141,0.8626280000000002,Simulation
142,0.863308,Simulation
143,0.8672719999999997,Simulation
144,0.8590800000000001,Simulation
145,0.8645400000000002,Simulation
146,0.8612959999999998,Simulation
147,0.8643120000000001,Simulation
148,0.8646760000000001,Simulation
149,0.8662960000000001,Simulation
150,0.862888,Simulation
151,0.8666160000000003,Simulation
152,0.862248,Simulation
153,0.8654839999999999,Simulation
154,0.8634520000000002,Simulation
155,0.8584159999999997,Simulation
