,Planktonic,Disc,migration_rate,replicate,cycle
0,10.970045320903184,8.873299095313163,0.0,0,0
1,10.336846892553746,8.85002284889112,0.0,0,1
2,10.32044052086659,8.815837772064395,0.0,0,2
3,10.318339695334265,8.787134450814497,0.0,0,3
4,10.236288630404191,8.756794441891632,0.0,0,4
5,10.222971425475214,8.739157706399377,0.0,0,5
6,10.225444496476848,8.712584320427522,0.0,0,6
7,10.103304991838067,8.685774876442382,0.0,0,7
8,10.087053049066858,8.663858957655627,0.0,0,8
9,10.081403650777968,8.642981356268411,0.0,0,9
10,9.867870100899095,8.622385982285675,0.0,0,10
11,9.851556468082135,8.599415596789303,0.0,0,11
12,9.845236299185247,8.58539708323002,0.0,0,12
13,9.404824169710464,8.563832248181692,0.0,0,13
14,9.386424710389164,8.542233798723062,0.0,0,14
15,9.370981709296418,8.530627497480511,0.0,0,15
16,10.970045320903184,8.886467800506775,0.0,1,0
17,10.333180456132489,8.843313395823252,0.0,1,1
18,10.326850863973496,8.80871800822253,0.0,1,2
19,10.317840332298896,8.774220930533597,0.0,1,3
20,10.23724524286434,8.754426348995727,0.0,1,4
21,10.22872440852908,8.727087406379145,0.0,1,5
22,10.220075700996286,8.705733654911956,0.0,1,6
23,10.097280392927871,8.675993917981815,0.0,1,7
24,10.093374482245048,8.658456668958458,0.0,1,8
25,10.08374071541341,8.630723234784101,0.0,1,9
26,9.862854114228227,8.613308987060712,0.0,1,10
27,9.859288222022093,8.591944798226658,0.0,1,11
28,9.845681534317022,8.579731487027514,0.0,1,12
29,9.407813097335367,8.567956960234506,0.0,1,13
30,9.38409697857714,8.54006650031423,0.0,1,14
31,9.374309858672634,8.531008790970946,0.0,1,15
32,10.970045320903184,8.878531249959616,0.0,2,0
33,10.326406839315894,8.845285158839646,0.0,2,1
34,10.32541266578228,8.812511554868115,0.0,2,2
35,10.320111491053442,8.780167621244757,0.0,2,3
36,10.238547967557356,8.756595810431508,0.0,2,4
37,10.2283490886745,8.71832630071773,0.0,2,5
38,10.222792621903205,8.69884218774558,0.0,2,6
39,10.09788226620106,8.676545643346264,0.0,2,7
40,10.09038651129316,8.653242762943266,0.0,2,8
41,10.079664921409114,8.629584815141088,0.0,2,9
42,9.864904648542174,8.610425122098363,0.0,2,10
43,9.85687321208478,8.591449413967984,0.0,2,11
44,9.850115599393597,8.573567793236972,0.0,2,12
45,9.408291156958278,8.554069521132144,0.0,2,13
46,9.391143126364966,8.546352704003402,0.0,2,14
47,9.389392045933672,8.52548278957496,0.0,2,15
48,10.970045320903184,8.881666541527956,0.0,3,0
49,10.33965869778085,8.846152071000636,0.0,3,1
50,10.330899887017232,8.818706091337312,0.0,3,2
51,10.320940564071478,8.78438761089936,0.0,3,3
52,10.237612144646803,8.761279440902756,0.0,3,4
53,10.220580503883056,8.738176363466353,0.0,3,5
54,10.216933875563107,8.709510698288735,0.0,3,6
55,10.100063314357358,8.686466229773783,0.0,3,7
56,10.090531785877436,8.656893393473537,0.0,3,8
57,10.081147907695184,8.63589229151302,0.0,3,9
58,9.86731944390056,8.614017770749326,0.0,3,10
59,9.855199186884256,8.589945230445899,0.0,3,11
60,9.842057669457294,8.567276020720678,0.0,3,12
61,9.3995756005473,8.550655257739528,0.0,3,13
62,9.38878332410589,8.532884961197999,0.0,3,14
63,9.37839046672375,8.5130033785021,0.0,3,15
64,10.970045320903184,8.885728557132758,0.0,4,0
65,10.327138574130634,8.845519758523121,0.0,4,1
66,10.328263336019186,8.81364213205347,0.0,4,2
67,10.316981800874732,8.785175768700782,0.0,4,3
68,10.236841120278717,8.751832727880789,0.0,4,4
69,10.226104182218792,8.73026065404441,0.0,4,5
70,10.222364148886063,8.703555108878387,0.0,4,6
71,10.097586454962672,8.680964455777515,0.0,4,7
72,10.096656216810883,8.656842340624749,0.0,4,8
73,10.085411697512628,8.642953322519888,0.0,4,9
74,9.87079638599777,8.62346591393811,0.0,4,10
75,9.864209668365564,8.60362359749443,0.0,4,11
76,9.848593746084957,8.585780271433363,0.0,4,12
77,9.416687329892302,8.569055981454712,0.0,4,13
78,9.400380511577303,8.545260858876604,0.0,4,14
79,9.384876803413457,8.524777632837655,0.0,4,15
80,10.970045320903184,8.880800264604586,0.0,5,0
81,10.334439793521184,8.840223799124164,0.0,5,1
82,10.331773257499712,8.820489932663778,0.0,5,2
83,10.320607665882592,8.789051129033146,0.0,5,3
84,10.237085445534692,8.761241022435454,0.0,5,4
85,10.222133582492694,8.743578429858063,0.0,5,5
86,10.217905627959825,8.713527911741465,0.0,5,6
87,10.098831809848164,8.6904380136017,0.0,5,7
88,10.091351071973405,8.661507422909485,0.0,5,8
89,10.08205578507871,8.639785682667458,0.0,5,9
90,9.862442632815844,8.620490110784756,0.0,5,10
91,9.853749301237974,8.599588261739603,0.0,5,11
92,9.837284987806123,8.583935422800822,0.0,5,12
93,9.406389190574656,8.572737652536018,0.0,5,13
94,9.393249522844744,8.555098245065597,0.0,5,14
95,9.380105980079891,8.544262886718437,0.0,5,15
96,10.970045320903184,8.88281791828662,0.0,6,0
97,10.334446065838728,8.845061935000063,0.0,6,1
98,10.322262806814477,8.807371217985922,0.0,6,2
99,10.323994112041618,8.785672956256084,0.0,6,3
100,10.23525367751298,8.75639624526719,0.0,6,4
101,10.229433255997757,8.725928910996997,0.0,6,5
102,10.224272030591813,8.705386826977389,0.0,6,6
103,10.09561623810814,8.676891767189174,0.0,6,7
104,10.087398478626609,8.654648015839802,0.0,6,8
105,10.084108979451225,8.63487760322463,0.0,6,9
106,9.866940662468258,8.621473246517805,0.0,6,10
107,9.8548532341487,8.593885720200097,0.0,6,11
108,9.838526123289244,8.56647822037868,0.0,6,12
109,9.390578013237882,8.55163162237566,0.0,6,13
110,9.379582949074408,8.537731132987043,0.0,6,14
111,9.368429357406606,8.512843949618716,0.0,6,15
112,10.970045320903184,8.878212848454456,0.0,7,0
113,10.333296573873492,8.845618952626454,0.0,7,1
114,10.326848578615596,8.812237693136217,0.0,7,2
115,10.315096834185294,8.785417998183817,0.0,7,3
116,10.236302504658884,8.757321950899385,0.0,7,4
117,10.227736506680332,8.727754638539523,0.0,7,5
118,10.219685856617955,8.70562906040966,0.0,7,6
119,10.102624683090704,8.683308638960304,0.0,7,7
120,10.090561740828749,8.660595811677409,0.0,7,8
121,10.08349743915444,8.63944059676527,0.0,7,9
122,9.86854113510655,8.627242772836992,0.0,7,10
123,9.852751546408994,8.608079714943571,0.0,7,11
124,9.835038936609962,8.589501739529652,0.0,7,12
125,9.397983317356804,8.565426426607733,0.0,7,13
126,9.392308251273125,8.548332662285382,0.0,7,14
127,9.36647507259774,8.526316553060301,0.0,7,15
128,10.970045320903184,8.877771447604433,0.0,8,0
129,10.338921133818705,8.846864516216502,0.0,8,1
130,10.320889987484303,8.819948566087769,0.0,8,2
131,10.319870956754928,8.7842094290086,0.0,8,3
132,10.237578624424312,8.758053446285022,0.0,8,4
133,10.225464657482808,8.730824497132737,0.0,8,5
134,10.221288695075572,8.713246820769001,0.0,8,6
135,10.093932136579529,8.686284948631775,0.0,8,7
136,10.089586845751262,8.670930038507636,0.0,8,8
137,10.082779793244102,8.645751876389202,0.0,8,9
138,9.862466342137656,8.62739918276247,0.0,8,10
139,9.855852492728914,8.60244148884536,0.0,8,11
140,9.839782310180686,8.584057321715331,0.0,8,12
141,9.403758985903224,8.561062971176277,0.0,8,13
142,9.385407698167958,8.5461587300059,0.0,8,14
143,9.37891765567397,8.523597715500145,0.0,8,15
144,10.970045320903184,8.880914163677806,0.0,9,0
145,10.330133258248717,8.845418381691125,0.0,9,1
146,10.320972493480436,8.818411240386126,0.0,9,2
147,10.32158343094766,8.785943638145982,0.0,9,3
148,10.239087884313024,8.76598186836243,0.0,9,4
149,10.234322556728966,8.724939257382236,0.0,9,5
150,10.218845222778045,8.698655380847624,0.0,9,6
151,10.095717285972489,8.674406951650303,0.0,9,7
152,10.085650560895754,8.646195172460313,0.0,9,8
