,Planktonic,Disc,migration_rate,replicate,cycle
0,10.970045320903184,8.873299095313163,0.0,0,0
1,10.165986166166029,8.432515694040484,0.0,0,1
2,10.066267940229949,8.075819819959602,0.0,0,2
3,10.054510119899764,8.07212555061562,0.0,0,3
4,9.82890480779001,7.901690359749981,0.0,0,4
5,9.719096884572412,7.697633856959726,0.0,0,5
6,9.700321028978928,7.678333190668462,0.0,0,6
7,9.351078027294362,7.530227736247726,0.0,0,7
8,8.603796914315549,7.524162633826831,0.0,0,8
9,9.345196160829063,7.519290138673142,0.0,0,9
10,8.995271300938771,7.425279537223875,0.0,0,10
11,8.86958470926822,7.30328692736284,0.0,0,11
12,8.86711414964225,7.2983978704952674,0.0,0,12
13,8.276397055962752,7.232996464554508,0.0,0,13
14,8.140560729453851,7.126703648589445,0.0,0,14
15,8.133655373482267,7.126604158102801,0.0,0,15
16,10.970045320903184,8.886467800506775,0.0,1,0
17,10.16364666161368,8.436420152913213,0.0,1,1
18,10.073475977774184,8.096095262601708,0.0,1,2
19,10.04519585755752,8.089447289132378,0.0,1,3
20,9.823964080628553,7.931155052403938,0.0,1,4
21,9.72314211940244,7.730536415862783,0.0,1,5
22,9.704769878343097,7.702898185887523,0.0,1,6
23,9.361105138479196,7.549922749282885,0.0,1,7
24,8.601162882645873,7.549392239840291,0.0,1,8
25,9.349201821635749,7.544089627509982,0.0,1,9
26,9.008766056183424,7.444009444754351,0.0,1,10
27,8.877491575154455,7.306011063721874,0.0,1,11
28,8.873155929177308,7.304586520252702,0.0,1,12
29,8.282506722829762,7.239569126619877,0.0,1,13
30,8.13825186945299,7.129617349358453,0.0,1,14
31,8.125183378079372,7.125577300098252,0.0,1,15
32,10.970045320903184,8.878531249959616,0.0,2,0
33,10.16621283599699,8.429161473095814,0.0,2,1
34,10.06560268749718,8.093798409897323,0.0,2,2
35,10.062417898192308,8.084711994409503,0.0,2,3
36,9.83176173771732,7.908440517338513,0.0,2,4
37,9.729940023085266,7.719680929761638,0.0,2,5
38,9.733913092415166,7.71358265786827,0.0,2,6
39,9.364437162222384,7.563374067513896,0.0,2,7
40,8.624454599728155,7.558048288109695,0.0,2,8
41,9.358177250568138,7.554943621445819,0.0,2,9
42,9.021956421749811,7.458413562053039,0.0,2,10
43,8.885414223243165,7.335759630621621,0.0,2,11
44,8.877808088322332,7.328822765882332,0.0,2,12
45,8.30112045347592,7.246201349248972,0.0,2,13
46,8.159500349520343,7.143880685206646,0.0,2,14
47,8.144733846424177,7.138036852205427,0.0,2,15
48,10.970045320903184,8.881666541527956,0.0,3,0
49,10.161030523326271,8.450167068535857,0.0,3,1
50,10.0693849489557,8.136168847526083,0.0,3,2
51,10.058870167549212,8.118928977110523,0.0,3,3
52,9.83224334802408,7.947444646388628,0.0,3,4
53,9.72555773733172,7.744148225266319,0.0,3,5
54,9.717345602052722,7.737853215106861,0.0,3,6
55,9.365383066055854,7.593567043334837,0.0,3,7
56,8.623215569817258,7.596303864115106,0.0,3,8
57,9.361262481340638,7.589323657415079,0.0,3,9
